,Unnamed: 0,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,amenities,bedrooms,beds,price,review_scores_value,review_scores_location,review_scores_rating,shared_bath,private_bath
0,0,1,1.0,43.77957,11.29768,0,0,2,0.24669560544540198,1.0,1.0,80.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
1,1,1,1.2,43.75,11.2271,1,1,4,0.488521186424944,1.0,2.0,110.0,4.8,4.73,4.84,0.0,1.0
2,2,1,1.0,43.77255,11.29244,2,0,4,0.20875818674326652,1.0,2.0,100.0,4.72,4.5,4.78,0.0,1.0
3,3,1,1.2,43.74172,11.21258,3,2,4,0.8948485435655396,1.0,1.0,140.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
4,4,1,1.0,43.78062,11.29255,2,0,2,0.19491375504277642,1.0,1.0,70.0,4.64,4.82,4.82,0.0,1.0
5,5,1,1.0,43.81893,11.28034,0,0,6,0.3787082513572363,3.0,3.0,150.0,4.0,4.0,5.0,0.0,3.0
6,6,1,1.2,43.73832343871382,11.231456242854462,4,2,2,0.22519063706848594,1.0,1.0,75.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
7,7,1,1.1,43.77124,11.25352,0,0,6,0.20431608523543404,2.0,2.0,160.0,4.92,5.0,4.58,0.0,2.0
8,8,1,1.1,43.75934,11.25398,0,0,2,0.18651137177949678,1.0,1.0,60.0,4.84,4.96,4.84,0.0,1.0
9,9,1,1.1,43.7812,11.25543,0,0,4,0.4979538679942692,2.0,4.0,75.0,4.95,4.82,4.96,0.0,1.0
10,10,1,1.1,43.76744,11.25453,0,0,4,0.23007855317996534,1.0,1.0,80.0,4.53,5.0,4.57,0.0,1.0
11,11,1,1.1,43.76868,11.26383,0,0,2,0.13998542543156606,1.0,2.0,150.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
12,12,1,1.0,43.81261018575269,11.265521964711358,5,3,3,0.7831352917415998,1.0,2.0,25.0,4.673695140226933,4.81356026546778,4.689118430870908,1.0,0.0
13,13,1,1.4,43.799,11.23371,3,2,1,0.5847826616731517,1.0,1.0,80.0,4.673695140226933,4.81356026546778,4.689118430870908,1.0,0.0
14,14,1,1.1,43.76268,11.24149,1,1,2,0.38404347409808015,1.0,1.0,70.0,4.83,4.74,4.85,0.0,1.0
15,15,1,1.0,43.77437,11.2729,2,0,2,0.23314073677917457,2.0,1.0,20.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
16,16,1,1.1,43.78079012744072,11.237156682286004,6,0,6,0.3138419631158285,3.0,3.0,86.0,4.673695140226933,4.81356026546778,4.689118430870908,0.0,1.0
17,17,1,1.1,43.77262,11.24641,2,0,2,0.3089692821869252,1.0,1.0,119.0,4.0,4.67,4.0,0.0,1.0
18,18,1,1.1,43.77728,11.25178,7,2,2,0.4978341960563321,1.0,2.0,110.0,4.33,5.0,4.33,0.0,1.0
